threshold,precision,recall
0.010,0.025,1.000
0.012,0.025,1.000
0.013,0.025,1.000
0.014,0.025,1.000
0.015,0.025,1.000
0.016,0.025,1.000
0.017,0.025,1.000
0.018,0.025,1.000
0.019,0.025,1.000
0.020,0.025,1.000
0.021,0.025,1.000
0.022,0.025,1.000
0.023,0.025,1.000
0.024,0.025,1.000
0.025,0.025,1.000
0.026,0.025,1.000
0.027,0.026,1.000
0.028,0.026,1.000
0.029,0.027,1.000
0.030,0.028,1.000
0.031,0.029,1.000
0.032,0.031,1.000
0.033,0.034,0.998
0.034,0.036,0.998
0.035,0.040,0.998
0.036,0.043,0.997
0.037,0.047,0.994
0.038,0.051,0.993
0.039,0.056,0.993
0.040,0.061,0.993
0.041,0.066,0.993
0.042,0.072,0.993
0.043,0.077,0.992
0.044,0.082,0.991
0.045,0.088,0.991
0.046,0.094,0.991
0.047,0.100,0.991
0.048,0.105,0.991
0.049,0.111,0.991
0.050,0.116,0.990
0.051,0.122,0.990
0.052,0.127,0.985
0.053,0.133,0.985
0.054,0.138,0.985
0.055,0.143,0.984
0.056,0.148,0.984
0.057,0.154,0.982
0.058,0.159,0.982
0.059,0.164,0.980
0.060,0.169,0.980
0.061,0.173,0.979
0.062,0.177,0.978
0.063,0.182,0.977
0.064,0.186,0.977
0.065,0.190,0.977
0.066,0.195,0.977
0.067,0.200,0.977
0.068,0.205,0.977
0.069,0.209,0.977
0.070,0.215,0.977
0.071,0.220,0.975
0.072,0.224,0.975
0.073,0.228,0.975
0.074,0.231,0.972
0.075,0.235,0.972
0.076,0.239,0.971
0.077,0.244,0.971
0.078,0.249,0.971
0.079,0.252,0.969
0.080,0.255,0.969
0.081,0.260,0.969
0.082,0.265,0.969
0.083,0.268,0.969
0.084,0.273,0.968
0.085,0.277,0.967
0.086,0.281,0.966
0.087,0.285,0.966
0.088,0.289,0.964
0.089,0.292,0.962
0.090,0.295,0.962
0.091,0.299,0.961
0.092,0.303,0.961
0.093,0.307,0.961
0.094,0.311,0.961
0.095,0.314,0.961
0.096,0.318,0.961
0.097,0.321,0.961
0.098,0.325,0.961
0.099,0.329,0.961
0.100,0.333,0.961
0.101,0.336,0.960
0.102,0.339,0.959
0.103,0.342,0.959
0.104,0.343,0.958
0.105,0.346,0.956
0.106,0.349,0.955
0.107,0.352,0.955
0.108,0.356,0.955
0.109,0.359,0.955
0.110,0.362,0.955
0.111,0.365,0.955
0.112,0.368,0.954
0.113,0.372,0.954
0.114,0.375,0.954
0.115,0.378,0.954
0.116,0.381,0.954
0.117,0.384,0.954
0.118,0.387,0.954
0.119,0.388,0.954
0.120,0.391,0.954
0.121,0.392,0.954
0.122,0.394,0.953
0.123,0.396,0.953
0.124,0.400,0.952
0.125,0.403,0.952
0.126,0.405,0.952
0.127,0.406,0.952
0.128,0.409,0.952
0.129,0.413,0.952
0.130,0.414,0.952
0.131,0.417,0.952
0.132,0.421,0.952
0.133,0.424,0.952
0.134,0.426,0.952
0.135,0.428,0.952
0.136,0.431,0.952
0.137,0.433,0.952
0.138,0.436,0.951
0.139,0.437,0.951
0.140,0.441,0.951
0.141,0.443,0.951
0.142,0.443,0.949
0.143,0.446,0.948
0.144,0.449,0.947
0.145,0.453,0.947
0.146,0.456,0.947
0.147,0.458,0.946
0.148,0.458,0.945
0.149,0.461,0.945
0.150,0.464,0.945
0.151,0.465,0.945
0.152,0.467,0.945
0.153,0.470,0.945
0.154,0.473,0.945
0.155,0.475,0.943
0.156,0.477,0.943
0.157,0.479,0.943
0.158,0.482,0.943
0.159,0.484,0.941
0.160,0.486,0.939
0.161,0.489,0.938
0.162,0.491,0.938
0.163,0.492,0.938
0.164,0.495,0.938
0.165,0.495,0.937
0.166,0.496,0.937
0.167,0.498,0.936
0.168,0.500,0.935
0.169,0.502,0.935
0.170,0.503,0.935
0.171,0.506,0.935
0.172,0.509,0.935
0.173,0.510,0.933
0.174,0.512,0.933
0.175,0.514,0.933
0.176,0.516,0.932
0.177,0.517,0.932
0.178,0.518,0.931
0.179,0.520,0.931
0.180,0.521,0.931
0.181,0.522,0.931
0.182,0.524,0.931
0.183,0.525,0.929
0.184,0.529,0.927
0.185,0.531,0.927
0.186,0.532,0.927
0.187,0.534,0.927
0.188,0.536,0.927
0.189,0.537,0.927
0.190,0.538,0.925
0.191,0.540,0.925
0.192,0.541,0.925
0.193,0.542,0.925
0.194,0.545,0.925
0.195,0.546,0.925
0.196,0.549,0.925
0.198,0.551,0.925
0.199,0.554,0.925
0.200,0.557,0.925
0.201,0.559,0.925
0.202,0.562,0.925
0.203,0.563,0.925
0.204,0.565,0.925
0.205,0.567,0.924
0.206,0.569,0.924
0.207,0.569,0.924
0.208,0.571,0.924
0.209,0.572,0.924
0.210,0.574,0.924
0.211,0.576,0.924
0.212,0.579,0.924
0.213,0.580,0.924
0.214,0.582,0.924
0.215,0.584,0.924
0.216,0.586,0.923
0.217,0.588,0.923
0.218,0.590,0.923
0.219,0.592,0.922
0.220,0.594,0.922
0.222,0.597,0.922
0.223,0.598,0.921
0.224,0.599,0.921
0.225,0.601,0.921
0.226,0.603,0.921
0.227,0.604,0.921
0.228,0.605,0.921
0.229,0.605,0.920
0.230,0.607,0.920
0.231,0.608,0.918
0.232,0.608,0.918
0.233,0.609,0.918
0.234,0.612,0.918
0.235,0.613,0.918
0.236,0.613,0.917
0.237,0.615,0.917
0.238,0.615,0.917
0.239,0.616,0.917
0.240,0.617,0.917
0.241,0.619,0.917
0.242,0.620,0.915
0.243,0.621,0.915
0.244,0.624,0.915
0.245,0.624,0.915
0.246,0.628,0.915
0.247,0.629,0.914
0.248,0.629,0.913
0.249,0.630,0.913
0.250,0.631,0.913
0.251,0.632,0.913
0.252,0.633,0.913
0.253,0.634,0.913
0.254,0.635,0.913
0.255,0.637,0.913
0.256,0.638,0.913
0.257,0.639,0.913
0.258,0.640,0.913
0.259,0.640,0.913
0.260,0.641,0.912
0.261,0.642,0.912
0.262,0.643,0.912
0.263,0.644,0.910
0.264,0.645,0.910
0.265,0.646,0.910
0.266,0.646,0.910
0.267,0.647,0.910
0.268,0.648,0.910
0.269,0.649,0.910
0.270,0.650,0.910
0.271,0.651,0.909
0.272,0.652,0.909
0.273,0.654,0.909
0.274,0.656,0.908
0.275,0.657,0.908
0.276,0.657,0.907
0.277,0.659,0.907
0.278,0.660,0.907
0.279,0.660,0.906
0.280,0.660,0.905
0.281,0.662,0.905
0.282,0.662,0.904
0.283,0.663,0.904
0.284,0.663,0.902
0.285,0.663,0.902
0.286,0.664,0.901
0.287,0.665,0.901
0.288,0.666,0.901
0.289,0.667,0.901
0.290,0.668,0.901
0.291,0.668,0.900
0.292,0.669,0.900
0.293,0.670,0.900
0.294,0.669,0.899
0.295,0.672,0.899
0.296,0.672,0.898
0.297,0.673,0.897
0.298,0.674,0.897
0.300,0.675,0.897
0.301,0.677,0.897
0.302,0.678,0.897
0.303,0.679,0.897
0.304,0.680,0.897
0.305,0.682,0.897
0.306,0.683,0.897
0.307,0.684,0.897
0.308,0.685,0.897
0.309,0.686,0.897
0.310,0.689,0.897
0.311,0.690,0.897
0.312,0.691,0.896
0.313,0.693,0.896
0.314,0.694,0.896
0.315,0.695,0.896
0.316,0.696,0.896
0.317,0.696,0.894
0.318,0.697,0.893
0.319,0.698,0.893
0.322,0.700,0.893
0.323,0.700,0.893
0.324,0.702,0.893
0.325,0.702,0.893
0.326,0.703,0.893
0.327,0.704,0.893
0.329,0.705,0.893
0.330,0.705,0.893
0.331,0.706,0.893
0.332,0.707,0.893
0.334,0.707,0.893
0.335,0.709,0.893
0.336,0.710,0.893
0.339,0.711,0.893
0.340,0.711,0.893
0.341,0.712,0.893
0.342,0.713,0.892
0.343,0.714,0.892
0.344,0.715,0.891
0.346,0.718,0.891
0.347,0.719,0.891
0.349,0.720,0.891
0.350,0.721,0.890
0.351,0.722,0.890
0.353,0.723,0.890
0.354,0.725,0.890
0.355,0.726,0.890
0.356,0.725,0.889
0.357,0.726,0.887
0.358,0.727,0.886
0.359,0.727,0.885
0.361,0.729,0.885
0.362,0.731,0.885
0.363,0.734,0.885
0.364,0.735,0.885
0.365,0.737,0.885
0.366,0.738,0.884
0.367,0.738,0.884
0.368,0.740,0.884
0.370,0.739,0.883
0.371,0.741,0.883
0.372,0.742,0.883
0.373,0.743,0.883
0.377,0.745,0.883
0.378,0.747,0.883
0.380,0.749,0.883
0.381,0.750,0.883
0.383,0.750,0.881
0.386,0.751,0.879
0.387,0.752,0.878
0.389,0.754,0.878
0.390,0.754,0.877
0.391,0.755,0.877
0.392,0.756,0.877
0.395,0.756,0.877
0.396,0.759,0.877
0.397,0.760,0.875
0.398,0.760,0.874
0.399,0.764,0.874
0.400,0.766,0.873
0.402,0.767,0.873
0.403,0.767,0.871
0.406,0.768,0.871
0.407,0.769,0.871
0.408,0.770,0.871
0.409,0.771,0.871
0.412,0.771,0.869
0.413,0.772,0.869
0.414,0.773,0.869
0.415,0.774,0.869
0.416,0.775,0.869
0.417,0.777,0.869
0.418,0.779,0.869
0.419,0.780,0.869
0.421,0.781,0.869
0.422,0.782,0.869
0.424,0.783,0.869
0.425,0.784,0.869
0.427,0.785,0.869
0.428,0.786,0.869
0.429,0.788,0.869
0.431,0.789,0.869
0.432,0.790,0.869
0.433,0.791,0.869
0.434,0.792,0.869
0.435,0.793,0.869
0.436,0.794,0.869
0.439,0.795,0.869
0.440,0.796,0.869
0.441,0.798,0.869
0.442,0.799,0.869
0.444,0.799,0.869
0.446,0.801,0.869
0.447,0.801,0.868
0.448,0.801,0.867
0.449,0.802,0.866
0.451,0.803,0.866
0.454,0.804,0.866
0.455,0.805,0.866
0.457,0.806,0.866
0.460,0.807,0.866
0.461,0.810,0.866
0.465,0.812,0.866
0.468,0.812,0.865
0.469,0.813,0.865
0.470,0.813,0.862
0.471,0.814,0.861
0.473,0.814,0.860
0.474,0.816,0.860
0.475,0.818,0.860
0.476,0.819,0.860
0.479,0.820,0.860
0.480,0.821,0.859
0.481,0.822,0.859
0.482,0.823,0.859
0.484,0.823,0.858
0.487,0.824,0.858
0.488,0.823,0.856
0.489,0.823,0.855
0.490,0.824,0.855
0.491,0.825,0.855
0.492,0.826,0.855
0.493,0.828,0.855
0.494,0.829,0.854
0.495,0.829,0.854
0.496,0.831,0.854
0.498,0.834,0.854
0.500,0.835,0.854
0.501,0.836,0.853
0.503,0.837,0.853
0.505,0.838,0.852
0.506,0.840,0.852
0.510,0.841,0.852
0.511,0.842,0.851
0.513,0.843,0.850
0.514,0.844,0.850
0.516,0.845,0.850
0.517,0.846,0.850
0.518,0.846,0.848
0.519,0.847,0.848
0.520,0.847,0.847
0.522,0.848,0.847
0.527,0.849,0.846
0.529,0.851,0.846
0.530,0.852,0.846
0.537,0.855,0.844
0.538,0.858,0.844
0.541,0.858,0.843
0.542,0.858,0.842
0.543,0.860,0.840
0.544,0.860,0.839
0.545,0.862,0.838
0.550,0.863,0.837
0.551,0.863,0.836
0.554,0.864,0.836
0.560,0.866,0.836
0.562,0.865,0.835
0.563,0.867,0.835
0.565,0.866,0.834
0.568,0.866,0.831
0.569,0.868,0.831
0.570,0.870,0.831
0.571,0.871,0.831
0.572,0.872,0.831
0.573,0.872,0.830
0.574,0.874,0.830
0.576,0.875,0.829
0.577,0.876,0.829
0.579,0.876,0.828
0.580,0.877,0.828
0.585,0.878,0.828
0.586,0.879,0.827
0.588,0.880,0.827
0.590,0.881,0.827
0.593,0.882,0.827
0.594,0.883,0.827
0.595,0.883,0.825
0.596,0.883,0.824
0.601,0.884,0.824
0.603,0.884,0.823
0.604,0.885,0.823
0.605,0.885,0.822
0.606,0.886,0.821
0.609,0.887,0.820
0.610,0.888,0.820
0.611,0.889,0.819
0.613,0.890,0.819
0.615,0.891,0.816
0.616,0.891,0.814
0.617,0.892,0.814
0.618,0.893,0.814
0.620,0.895,0.814
0.621,0.896,0.814
0.622,0.897,0.814
0.623,0.900,0.814
0.624,0.900,0.813
0.625,0.899,0.811
0.627,0.901,0.811
0.633,0.902,0.809
0.634,0.902,0.807
0.635,0.905,0.807
0.638,0.905,0.805
0.639,0.904,0.804
0.642,0.904,0.801
0.646,0.904,0.799
0.648,0.904,0.798
0.649,0.904,0.797
0.655,0.905,0.796
0.657,0.905,0.794
0.658,0.904,0.792
0.660,0.904,0.791
0.662,0.904,0.790
0.664,0.904,0.789
0.666,0.905,0.786
0.667,0.906,0.785
0.669,0.907,0.784
0.670,0.908,0.783
0.674,0.909,0.782
0.677,0.909,0.780
0.678,0.909,0.778
0.681,0.912,0.777
0.682,0.914,0.777
0.684,0.914,0.776
0.685,0.913,0.775
0.686,0.915,0.774
0.687,0.916,0.773
0.691,0.917,0.772
0.692,0.919,0.772
0.694,0.921,0.772
0.695,0.920,0.769
0.697,0.922,0.769
0.701,0.921,0.768
0.703,0.923,0.766
0.704,0.922,0.765
0.705,0.925,0.765
0.710,0.925,0.763
0.711,0.927,0.763
0.713,0.929,0.763
0.716,0.930,0.763
0.717,0.930,0.762
0.721,0.931,0.762
0.722,0.933,0.762
0.723,0.932,0.760
0.724,0.932,0.759
0.726,0.932,0.758
0.727,0.933,0.755
0.730,0.934,0.753
0.731,0.934,0.752
0.732,0.934,0.750
0.733,0.936,0.750
0.735,0.935,0.749
0.736,0.935,0.747
0.737,0.935,0.746
0.738,0.935,0.745
0.739,0.936,0.744
0.740,0.939,0.744
0.742,0.939,0.743
0.744,0.939,0.742
0.746,0.939,0.741
0.747,0.942,0.741
0.748,0.941,0.738
0.749,0.941,0.737
0.750,0.943,0.736
0.752,0.942,0.734
0.753,0.945,0.734
0.754,0.947,0.734
0.755,0.946,0.730
0.757,0.946,0.728
0.758,0.946,0.727
0.759,0.948,0.726
0.760,0.947,0.723
0.761,0.947,0.722
0.762,0.947,0.720
0.765,0.950,0.720
0.766,0.950,0.719
0.767,0.950,0.715
0.768,0.950,0.713
0.771,0.951,0.711
0.774,0.951,0.708
0.775,0.951,0.707
0.777,0.951,0.706
0.778,0.952,0.704
0.780,0.953,0.701
0.781,0.953,0.700
0.782,0.953,0.697
0.783,0.953,0.696
0.785,0.953,0.695
0.787,0.954,0.695
0.789,0.954,0.693
0.790,0.954,0.691
0.796,0.954,0.689
0.797,0.954,0.688
0.798,0.954,0.685
0.799,0.953,0.682
0.800,0.953,0.680
0.801,0.953,0.679
0.803,0.953,0.676
0.804,0.953,0.675
0.807,0.955,0.675
0.808,0.954,0.674
0.809,0.956,0.673
0.810,0.957,0.670
0.811,0.957,0.668
0.813,0.957,0.667
0.815,0.957,0.665
0.816,0.957,0.664
0.817,0.957,0.662
0.818,0.957,0.661
0.819,0.957,0.660
0.820,0.958,0.660
0.821,0.960,0.658
0.825,0.961,0.658
0.827,0.961,0.657
0.830,0.961,0.656
0.831,0.961,0.654
0.832,0.963,0.654
0.833,0.963,0.652
0.834,0.963,0.651
0.835,0.963,0.650
0.836,0.964,0.649
0.839,0.964,0.646
0.841,0.964,0.643
0.844,0.965,0.642
0.846,0.965,0.638
0.850,0.967,0.638
0.851,0.967,0.634
0.852,0.968,0.633
0.853,0.968,0.627
0.855,0.970,0.623
0.857,0.971,0.623
0.858,0.971,0.622
0.859,0.971,0.621
0.860,0.971,0.619
0.861,0.971,0.618
0.862,0.971,0.614
0.863,0.971,0.612
0.864,0.971,0.611
0.865,0.973,0.610
0.866,0.972,0.608
0.867,0.972,0.607
0.869,0.972,0.606
0.870,0.972,0.604
0.871,0.972,0.603
0.872,0.974,0.602
0.873,0.974,0.600
0.874,0.974,0.598
0.875,0.974,0.594
0.876,0.975,0.594
0.877,0.975,0.592
0.880,0.975,0.591
0.881,0.977,0.588
0.882,0.977,0.586
0.886,0.977,0.584
0.887,0.977,0.582
0.888,0.977,0.581
0.889,0.979,0.580
0.890,0.979,0.575
0.891,0.978,0.573
0.892,0.978,0.572
0.893,0.980,0.572
0.894,0.980,0.569
0.895,0.980,0.568
0.897,0.980,0.565
0.898,0.980,0.563
0.899,0.980,0.556
0.900,0.980,0.553
0.901,0.980,0.550
0.902,0.979,0.545
0.903,0.979,0.542
0.904,0.979,0.537
0.905,0.979,0.535
0.906,0.979,0.532
0.907,0.979,0.529
0.908,0.983,0.525
0.909,0.985,0.524
0.910,0.985,0.519
0.911,0.985,0.518
0.912,0.985,0.515
0.913,0.985,0.511
0.914,0.984,0.506
0.915,0.984,0.503
0.916,0.984,0.497
0.917,0.984,0.493
0.918,0.986,0.490
0.919,0.986,0.488
0.920,0.986,0.487
0.921,0.986,0.482
0.922,0.986,0.478
0.923,0.986,0.474
0.924,0.988,0.470
0.925,0.988,0.466
0.926,0.988,0.463
0.927,0.988,0.458
0.928,0.987,0.452
0.929,0.987,0.447
0.930,0.987,0.444
0.931,0.987,0.437
0.932,0.987,0.435
0.933,0.987,0.432
0.934,0.987,0.428
0.935,0.987,0.421
0.936,0.986,0.416
0.937,0.986,0.412
0.938,0.986,0.406
0.939,0.986,0.400
0.940,0.986,0.392
0.941,0.985,0.385
0.942,0.988,0.378
0.943,0.988,0.363
0.944,0.987,0.358
0.945,0.987,0.351
0.946,0.987,0.341
0.947,0.986,0.331
0.948,0.986,0.320
0.949,0.986,0.315
0.950,0.985,0.301
0.951,0.985,0.293
0.952,0.988,0.287
0.953,0.987,0.270
0.954,0.987,0.263
0.955,0.986,0.249
0.956,0.986,0.239
0.957,0.985,0.231
0.958,0.990,0.219
0.959,0.990,0.217
0.960,0.989,0.201
0.961,0.988,0.189
0.962,0.988,0.183
0.963,0.986,0.165
0.964,0.985,0.154
0.965,0.984,0.141
0.966,0.983,0.132
0.967,0.981,0.119
0.968,0.990,0.113
0.969,0.989,0.107
0.970,0.988,0.096
0.971,0.986,0.084
0.972,0.984,0.070
0.973,0.981,0.060
0.974,0.980,0.055
0.975,1.000,0.047
0.976,1.000,0.044
0.977,1.000,0.033
0.978,1.000,0.030
0.979,1.000,0.024
0.980,1.000,0.018
0.981,1.000,0.014
0.982,1.000,0.013
0.983,1.000,0.009
0.984,1.000,0.003
0.985,1.000,0.002
0.986,1.000,0.001
